,appid,meanPlayers2017,meanPlayers2018,meanPlayers2019,meanPlayers2020
579,599460,48,41,41,34
580,391720,981,290,91,81
581,301910,79,44,29,26
582,645260,57,51,39,42
583,740260,18,6,3,4
584,567250,26,3,4,4
585,382080,103,2,4,0
586,240320,43,42,27,28
587,407000,4,2,0,0
588,370540,65,56,58,63
589,233800,52,52,48,53
590,364420,78,52,30,27
591,359310,70,41,18,13
592,50650,52,53,25,19
593,214340,56,51,33,52
594,448470,68,12,2,12
595,298900,80,22,3,4
596,455980,56,88,59,71
597,232050,56,267,61,56
598,13520,60,58,48,71
599,261180,73,68,14,12
600,251290,76,58,55,108
601,15120,79,46,39,46
602,420530,97,69,41,57
603,203630,56,56,49,50
604,295550,65,51,35,44
605,317600,46,22,16,27
606,268750,63,38,27,26
607,487270,21,2,0,0
608,213850,65,64,40,39
609,335670,89,55,40,49
610,9010,56,37,45,62
611,576130,41,34,8,15
612,265210,85,21,17,17
613,263060,37,19,5,6
614,290930,46,37,39,104
615,307670,56,44,27,26
616,669580,31,9,1,0
617,270370,38,26,23,48
618,3170,40,39,36,47
619,528210,0,3,0,2
620,360830,54,60,31,31
621,13230,83,50,52,70
622,424280,59,41,28,32
623,223670,37,28,20,19
624,263540,63,59,52,58
625,304530,62,60,24,28
626,252870,59,41,47,66
627,305260,57,52,31,32
628,660160,44,40,46,46
629,310470,63,42,34,30
630,292180,44,27,15,12
631,249650,43,42,32,29
632,289930,46,33,38,35
633,331360,40,54,43,131
634,337150,48,46,42,44
635,667870,72,81,55,68
636,625140,65,49,8,0
637,296970,57,45,30,25
638,412740,72,32,10,5
639,545650,62,34,14,22
640,579950,59,25,7,3
641,58610,42,39,28,34
642,414740,54,17,5,3
643,228760,58,34,26,33
644,538590,18,9,2,0
645,457550,63,56,71,95
646,545110,50,30,15,14
647,61700,48,40,35,43
648,670880,0,0,0,0
649,712840,45,31,29,39
650,363360,62,44,26,22
651,420790,46,37,30,49
652,335620,54,103,94,83
653,368360,106,118,73,38
654,370730,45,43,45,60
655,570420,8,3,1,1
656,73010,40,28,25,23
657,204340,57,44,40,65
658,393080,47,45,59,66
659,201700,43,25,16,16
660,454510,72,54,20,12
661,523120,45,48,46,44
662,382900,64,53,48,81
663,239120,73,57,50,128
664,71250,55,45,56,92
665,63910,54,54,59,78
666,513620,17,3,0,4
667,22350,45,29,21,19
668,485980,45,34,34,38
669,252110,71,34,28,45
670,98800,57,43,38,39
671,505040,63,52,56,55
672,316790,61,34,23,29
673,555160,85,158,542,695
674,3720,61,46,56,112
675,253430,53,35,29,34
676,285010,13,27,4,4
677,238750,51,42,39,45
678,577230,106,90,106,99
679,546400,32,10,5,3
680,293780,64,31,27,36
681,321410,52,57,64,18
682,460120,68,54,36,27
683,15320,54,47,42,47
684,506610,55,28,21,33
685,404680,91,41,16,24
686,353270,63,61,42,34
687,436320,58,29,18,9
688,6800,58,50,47,90
689,745880,44,16,8,8
690,214420,41,27,8,8
691,551730,55,23,16,12
692,48210,58,45,23,16
693,383180,73,53,51,68
694,262940,29,18,13,17
695,503770,45,64,88,51
696,25000,83,56,38,38
697,550340,16,3,2,2
698,6910,63,56,61,98
699,460870,73,63,51,40
700,41010,58,45,38,56
701,485420,82,24,6,26
702,327140,70,61,50,28
703,224760,141,47,28,33
704,3480,66,60,64,92
705,315460,52,72,46,36
706,224500,54,43,33,27
707,233720,71,32,27,28
708,16450,47,40,38,47
709,8000,55,53,37,62
710,50620,55,80,43,34
711,203680,26,10,8,9
712,13260,25,23,21,37
713,452570,37,28,17,16
714,258030,26,3,0,0
715,224060,39,21,9,7
716,363090,53,46,53,91
717,580200,69,40,25,23
718,67370,45,185,45,46
719,562810,84,40,70,258
720,434030,42,30,33,40
721,337950,45,31,14,9
722,457710,20,18,1,1
723,263760,47,26,17,17
724,404540,34,9,5,4
725,583470,43,16,12,13
726,427720,48,20,8,32
727,15700,59,109,30,36
728,412050,32,14,4,1
729,703700,67,19,11,14
730,10270,42,41,42,50
731,388880,73,36,20,22
732,254300,30,56,59,2
733,528200,60,85,100,142
734,219830,45,36,55,51
735,206440,203,47,35,52
736,248860,57,39,36,62
737,65790,26,19,17,21
738,39190,50,47,50,69
739,569860,64,28,18,28
740,12150,35,29,30,44
741,25830,50,47,49,61
742,41000,54,36,29,50
743,397100,48,43,30,28
744,311770,43,30,26,47
745,468070,35,43,30,29
746,269330,8,1,2,1
747,260430,52,39,31,37
748,577940,69,42,25,51
749,327860,82,24,15,11
750,340000,16,3,3,2
751,251950,58,19,21,24
752,22130,43,50,54,64
753,92800,63,30,22,25
754,104900,49,31,14,14
755,237850,47,34,22,20
756,327090,32,22,19,17
757,394230,46,30,16,10
758,461880,40,7,2,13
759,603780,10,65,65,82
760,1200,27,20,20,19
761,368230,4455,162,73,67
762,595420,76,57,9,4
763,21000,53,41,46,63
764,236090,65,36,22,28
765,317360,37,31,16,20
766,282400,52,42,36,38
767,449800,75,25,13,11
768,11450,57,51,38,46
769,40700,84,35,29,37
770,517160,52,55,45,18
771,521150,58,47,45,46
772,24840,49,41,38,60
773,580420,17,2,0,0
774,430440,3,0,0,0
775,625950,2,2,0,12
776,57730,44,39,43,51
777,384740,1,3,1,0
778,425580,70,37,34,41
779,527100,95,36,29,36
780,205990,39,37,35,34
781,298030,49,57,66,97
782,500710,112,52,61,45
783,259020,36,17,0,0
784,492130,8,2,7,18
785,421050,33,28,24,31
786,312750,68,57,49,71
787,464060,164,68,30,28
788,527270,53,35,32,52
789,453090,31,83,233,153
790,435400,73,45,27,34
791,13210,61,33,27,31
792,542480,38,27,18,24
793,232010,60,33,24,21
794,2810,23,17,14,14
795,338180,29,3,1,2
796,454080,24,1,0,0
797,70400,76,46,39,38
798,33340,67,56,62,43
799,235800,65,33,22,25
800,7760,44,38,36,48
801,243950,30,14,13,11
802,239840,62,39,32,26
803,308040,55,12,3,3
804,629690,23,8,6,6
805,322520,61,38,33,35
806,313780,12,7,5,5
807,522470,23,15,18,49
808,228300,46,38,30,33
809,385730,39,27,17,19
810,235320,23,20,19,23
811,350110,38,25,20,25
812,449630,0,10,48,39
813,507300,32,24,19,25
814,234710,64,49,31,33
815,231060,54,38,20,31
816,639790,61,35,11,7
817,32500,120,30,33,33
818,345240,43,37,49,67
819,317820,52,29,18,16
820,312280,40,32,25,42
821,681820,34,29,39,87
822,311260,35,29,74,113
823,501800,0,3,2,0
