,app_id,type,name,release_date,free_to_play,developer_1,developer_2,developer_3,publisher_1,publisher_2,publisher_3,genre_Action,genre_Adventure,genre_Animation & Modeling,genre_Audio Production,genre_Casual,genre_Design & Illustration,genre_Early Access,genre_Education,genre_Free to Play,genre_Gore,genre_Indie,genre_Massively Multiplayer,genre_Nudity,genre_Photo Editing,genre_RPG,genre_Racing,genre_Sexual Content,genre_Simulation,genre_Software Training,genre_Sports,genre_Strategy,genre_Utilities,genre_Video Production,genre_Violent,genre_Web Publishing,meanPlayers2017,meanPlayers2018,meanPlayers2019,meanPlayers2020,first_available_price,last_available_price,lowest_price,highest_price
26,304930,game,Unturned,2017-07-07,1.0,Smartly Dressed Games,0,0,Smartly Dressed Games,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18873,13391,14494,21480,0.0,0.0,0.0,0.0
27,476620,game,Call of Duty: WWII - Multiplayer,2017-11-02,0.0,Sledgehammer Games,Raven Software,0,Activision,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9822,3474,1008,695,59.99,59.99,19.79,59.99
28,10,game,Counter-Strike,2000-11-01,0.0,Valve,0,0,Valve,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14084,11520,9610,12603,9.99,9.99,0.99,9.99
29,504370,game,Battlerite,2017-11-08,1.0,Stunlock Studios,0,0,Stunlock Studios,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9667,3529,663,617,0.0,0.0,0.0,0.0
30,292030,game,The Witcher 3: Wild Hunt,2015-05-18,0.0,CD PROJEKT RED,0,0,CD PROJEKT RED,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13092,12442,14140,25623,39.99,39.99,11.99,39.99
31,381210,game,Dead by Daylight,2016-06-14,0.0,Behaviour Digital Inc.,0,0,Behaviour Digital Inc.,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14248,17784,20278,32364,19.99,19.99,7.99,19.99
32,236850,game,Europa Universalis IV,2013-08-13,0.0,Paradox Development Studio,0,0,Paradox Interactive,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11973,11616,11358,16494,39.99,39.99,7.99,39.99
33,489830,game,The Elder Scrolls V: Skyrim Special Edition,2016-10-27,0.0,Bethesda Game Studios,0,0,Bethesda Softworks,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11508,10865,11854,16789,39.99,39.99,13.19,39.99
34,306130,game,The Elder Scrolls Online: Tamriel Unlimited,2017-05-22,0.0,Zenimax Online Studios,0,0,Bethesda Softworks,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10479,11857,13765,20499,19.99,9.99,7.99,19.99
35,236390,game,War Thunder,2013-08-15,1.0,Gaijin Entertainment,0,0,Gaijin Entertainment,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12418,12152,12476,19488,0.0,0.0,0.0,0.0
36,435150,game,Divinity: Original Sin 2,2017-09-14,0.0,Larian Studios,0,0,Larian Studios,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10902,8191,7628,11794,44.99,44.99,22.49,44.99
37,394360,game,Hearts of Iron IV,2016-06-06,0.0,Paradox Development Studio,0,0,Paradox Interactive,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11612,13350,15569,20393,39.99,39.99,9.99,39.99
38,251570,game,7 Days to Die,2013-12-13,0.0,The Fun Pimps,0,0,The Fun Pimps Entertainment LLC,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10583,8179,10548,17784,24.99,24.99,8.49,24.99
39,281990,game,Stellaris,2016-05-09,0.0,Paradox Development Studio,0,0,Paradox Interactive,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9855,11508,10118,14648,39.99,39.99,9.99,39.99
40,550,game,Left 4 Dead 2,2009-11-16,0.0,Valve,0,0,Valve,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13647,9683,9389,12916,9.99,9.99,1.99,9.99
41,594570,game,Total War: WARHAMMER II,2017-09-28,0.0,CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux),SEGA,Feral Interactive (Mac),Feral Interactive (Linux),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11332,12839,16378,25425,59.99,59.99,20.39,59.99
42,221380,game,Age of Empires II: HD Edition,2013-04-09,0.0,Skybox Labs,Hidden Path Entertainment,Ensemble Studios,Xbox Game Studios,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10313,8399,8714,8235,19.99,19.99,4.99,19.99
